pair,f1
2012_Colorado_wildfires → 2012_Costa_Rica_earthquak,0.4732064077360033
2012_Colorado_wildfires → 2012_Guatemala_earthquake,0.4906912086259146
2012_Colorado_wildfires → 2012_Italy_earthquakes,0.5646191142984845
2012_Colorado_wildfires → 2012_Philipinnes_floods,0.5262537259364538
2012_Colorado_wildfires → 2012_Typhoon_Pablo,0.4569305158087771
2012_Colorado_wildfires → 2012_Venezuela_refinery,0.45137972292191436
2012_Colorado_wildfires → 2013_Alberta_floods,0.4593776641206265
2012_Colorado_wildfires → 2013_Australia_bushfire,0.42321927825823574
2012_Colorado_wildfires → 2013_Bohol_earthquake,0.4437012647328128
2012_Colorado_wildfires → 2013_Boston_bombings,0.3429438295521095
2012_Colorado_wildfires → 2013_Brazil_nightclub_fir,0.3408068770276693
2012_Colorado_wildfires → 2013_Colorado_floods,0.3936752740324984
2012_Colorado_wildfires → 2013_Glasgow_helicopter_c,0.1942695893701674
2012_Colorado_wildfires → 2013_Lac_Megantic_train_c,0.34952231525725797
2012_Colorado_wildfires → 2013_LA_airport_shootings,0.26428575960912515
2012_Colorado_wildfires → 2013_Manila_floods,0.4979963064630887
2012_Colorado_wildfires → 2013_NY_train_crash,0.23676813375097513
2012_Colorado_wildfires → 2013_Queensland_floods,0.36838403856003793
2012_Colorado_wildfires → 2013_Russia_meteor,0.4024908590633566
2012_Colorado_wildfires → 2013_Sardinia_floods,0.5690215402576826
2012_Colorado_wildfires → 2013_Savar_building_colla,0.192499959533532
2012_Colorado_wildfires → 2013_Singapore_haze,0.33534165462545606
2012_Colorado_wildfires → 2013_Spain_train_crash,0.3325057383195836
2012_Colorado_wildfires → 2013_Typhoon_Yolanda,0.5331177749561946
2012_Colorado_wildfires → 2013_West_Texas_explosion,0.3226699142214749
2012_Costa_Rica_earthquak → 2012_Colorado_wildfires,0.39816313485496657
2012_Costa_Rica_earthquak → 2012_Guatemala_earthquake,0.5682643533741486
2012_Costa_Rica_earthquak → 2012_Italy_earthquakes,0.610595204004244
2012_Costa_Rica_earthquak → 2012_Philipinnes_floods,0.4974629582295353
